	ECB_00737	ECB_01992	ECB_02816	ECB_03722	acpP	appC	arcA	cycA	envZ	fabF	flgB	galF	hokB	hokD	hsdS	hslU	hupB	hyfA	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	nudC	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rfbB	rne	rplF	rpsA	rpsC	sapF	speG	spoT	thiI	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yhdJ	yieO	yihP	yjcE	yjjY	ylcG	yqeB	yqhH
hsdS	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hslU	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	4	2	2	2	2	2	3	1	4	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1
hupB	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
hyfA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
iap	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
iclR	0	1	0	1	0	1	1	0	0	2	1	1	1	0	1	4	0	1	0	1	2	1	0	1	1	3	0	2	1	0	0	0	4	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	2	1	0	1	1	1	0	1	0
infB	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	1	0	2	1	1	0	0	1	1	0	1	1	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0
infC	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	1	1	1	1	0	1	1	2	1	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	0	0
malT	1	0	1	0	1	0	2	1	1	0	0	0	1	1	0	2	1	0	1	0	0	1	1	1	1	0	1	2	0	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	2	0	0	0	1	0	1
metH	0	0	1	0	0	1	2	0	1	0	1	0	0	0	0	2	0	0	1	1	0	1	1	1	0	1	1	2	0	1	0	1	2	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0
mokC	1	0	0	0	1	0	1	1	0	1	0	0	2	1	1	2	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1
mreB	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	3	0	0	0	3	1	1	0	1	0	1	0	2	1	0	0	0	3	1	1	1	0	0	0	1	1	1	1	1	2	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	0	1	0
mreC	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
nadR	1	1	1	1	1	1	3	1	1	0	1	0	1	1	0	4	1	0	1	2	1	2	2	2	1	2	1	1	1	1	1	1	4	1	1	0	0	1	0	0	1	0	1	1	3	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	2	1	2	1	1	1	1	1	1
nudC	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
oppD	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
phoH	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
prlA	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
pykF	1	1	1	1	1	1	3	1	1	2	1	1	2	1	1	6	1	1	1	4	2	2	2	2	2	3	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1
rbsA	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
rbsB	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
rbsD	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
rbsR	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rfbB	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
rne	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rplF	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
rpsA	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
rpsC	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sapF	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
speG	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
spoT	0	1	1	1	0	1	2	0	1	0	1	0	0	0	0	3	0	0	1	2	1	2	1	2	0	2	1	3	1	1	0	1	3	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	1	1	1	1	1	1	1	0
thiI	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
thrA	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
trkH	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
wzy	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
ybaE	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ybaL	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	2	0	1	0	2	1	0	0	1	1	1	0	1	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
ybbN	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
ybeB	1	0	0	0	1	0	1	1	0	1	0	0	2	1	1	2	1	1	0	1	1	0	1	0	2	0	0	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1
ybhP	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ycdM	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
yceK	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ycfC	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yebY	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yecE	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yeeR	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yeeU	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yfaQ	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
yfcTU	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
yggM	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
ygjD	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
yhdG	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0	3	0	0	1	2	1	2	1	1	0	2	1	2	1	1	0	1	3	0	1	1	0	1	0	1	0	1	1	0	2	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0
yhdJ	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
yieO	1	0	1	0	1	0	2	1	1	0	0	0	1	1	0	2	1	0	1	0	0	1	2	1	1	0	1	2	0	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1
yihP	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
yjcE	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
yjjY	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ylcG	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
yqeB	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
yqhH	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
